DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 14:05:52.257   -4191.963086398562          3417.907080305206           4073.303042106927           -6.025351980728311           -3.053336106804771           -3.638824274682206           26724974.77053983         -132719198.9593572        -57540149.20116038        
01 Jan 2000 14:07:23.292   -4717.225476764338          3122.26925979202            3720.975607403615           -5.504178676260393           -3.435925979137878           -4.094777129525347           26727686.34108331         -132718738.2820581        -57539949.49323585        
01 Jan 2000 14:08:54.327   -5192.33388588342           2793.436169364001           3329.087590522167           -4.924486172577121           -3.781984765990395           -4.50719393200563            26730397.89839417         -132718277.5594435        -57539749.76568937        
01 Jan 2000 14:10:25.363   -5612.238894692703          2434.902508426381           2901.803812033804           -4.292435197132068           -4.087834578691552           -4.871691545086501           26733109.45391218         -132717816.7895696        -57539550.01767821        
01 Jan 2000 14:11:56.398   -5972.473953365921          2050.481984392643           2443.669271449646           -3.614748849464768           -4.350222078035757           -5.18439279008177            26735820.99386442         -132717355.9747765        -57539350.25021696        
01 Jan 2000 14:13:27.433   -6269.210499468296          1644.260344039664           1959.55317216947            -2.898629801226736           -4.566358621165641           -5.441974291847703           26738532.52838925         -132716895.1133415        -57539150.46255872        
01 Jan 2000 14:14:58.468   -6499.292867440521          1220.557574398293           1454.603874257249           -2.151693660976512           -4.733945688892318           -5.641696781883302           26741244.05030487         -132716434.2064852        -57538950.65523259        
01 Jan 2000 14:16:29.503   -6660.275794996647          783.8760862550537           934.1871419431566           -1.38187762803322            -4.851202204552088           -5.781437655675913           26743955.57451489         -132715973.2516738        -57538750.82714028        
01 Jan 2000 14:18:00.538   -6750.446373254599          338.8623393362856           403.840410298903            -0.5973728423716124          -4.916880522011271           -5.859710026463437           26746667.07802483         -132715512.2528165        -57538550.97997635        
01 Jan 2000 14:19:31.574   -6768.846625437579          -109.7574882666019          -130.8038809558345          0.1934890223099738           -4.930282871508601           -5.875682324626085           26749378.59256198         -132715051.2045189        -57538351.11140228        
01 Jan 2000 14:21:02.610   -6715.279890379911          -557.2108471891668          -664.0580289701488          0.9822945454326576           -4.891266009264124           -5.829183838874478           26752090.10096449         -132714590.1096983        -57538151.22268281        
01 Jan 2000 14:22:33.645   -6590.316668819158          -998.7370697990097          -1190.248490989982          1.76065125245735             -4.80024547579313            -5.720709791110579           26754801.58282212         -132714128.9718258        -57537951.31532268        
01 Jan 2000 14:24:04.681   -6395.283822693786          -1429.647768362591          -1703.787864090411          2.520294089462763            -4.658187728905958           -5.551411960901953           26757513.0748612          -132713667.7846555        -57537751.3866142         
01 Jan 2000 14:25:35.717   -6132.255974961592          -1845.357773162432          -2199.211755787979          3.253139963260572            -4.466603879519979           -5.323091220113186           26760224.55438715         -132713206.5520469        -57537551.43823049        
01 Jan 2000 14:27:06.752   -5804.033235329962          -2241.44373280365           -2671.248621166529          3.951391046565733            -4.22753346755871            -5.038178197775364           26762935.99635581         -132712745.2782609        -57537351.4720187         
01 Jan 2000 14:28:37.787   -5414.101476850668          -2613.700113972806          -3114.886500790991          4.607633498719405            -3.943515528274458           -4.699698798272151           26765647.43788649         -132712283.9569831        -57537151.48524153        
01 Jan 2000 14:30:08.823   -4966.60378140352           -2958.170307330778          -3525.410091266977          5.214892301572106            -3.617567793750348           -4.311249414655099           26768358.89083961         -132711822.5861949        -57536951.47702383        
01 Jan 2000 14:31:39.859   -4466.299137489304          -3271.189849320519          -3898.452254985447          5.766707454242327            -3.253156609257518           -3.876961076354256           26771070.3428189          -132711361.1680048        -57536751.44827966        
01 Jan 2000 14:33:10.894   -3918.512764890966          -3549.427474705171          -4230.042944632489          6.257206343718193            -2.85416075080254            -3.401456328610324           26773781.76357527         -132710899.7075607        -57536551.4012407         
01 Jan 2000 14:34:41.929   -3329.065590863115          -3789.927383702717          -4516.659575198893          6.681178256644225            -2.424820057094692           -2.889788014437105           26776493.17192517         -132710438.2016608        -57536351.33451895        
01 Jan 2000 14:36:12.965   -2704.222651821387          -3990.133319212434          -4755.255718101284          7.03411682452557             -1.969697846441897           -2.347394484822217           26779204.57665832         -132709976.6488089        -57536151.2474658         
01 Jan 2000 14:37:44.001   -2050.625209634105          -4147.916825039076          -4943.294778022296          7.312269839519669            -1.493631471711855           -1.780040672424388           26781915.98541286         -132709515.0477044        -57535951.13951736        
01 Jan 2000 14:39:15.036   -1375.22585546435           -4261.599192943302          -5078.776148386774          7.512677944400808            -1.001685051360893           -1.193761758607266           26784627.38294685         -132709053.4009417        -57535751.01179838        
01 Jan 2000 14:40:46.072   -685.2058892392579          -4329.971825056512          -5160.259478342813          7.633210529006011            -0.4990892904093929          -0.5947914548706944          26787338.76788317         -132708591.7087554        -57535550.86441056        
01 Jan 2000 14:42:17.107   12.09579362056554           -4352.307960495466          -5186.878647996855          7.672586402821773            0.008810316941019591         0.01049972686634881          26790050.13041925         -132708129.9728151        -57535350.69807765        
01 Jan 2000 14:43:48.143   709.2742546945399           -4328.370206147343          -5158.350743253842          7.63038707083671             0.5166201721823942           0.6156839462050031           26792761.50487386         -132707668.1872761        -57535150.51026598        
01 Jan 2000 14:45:19.179   1398.913499221657           -4258.412465350361          -5074.978354329262          7.507060133569478            1.018938623605275            1.214323765314582            26795472.87767154         -132707206.3544498        -57534950.30197751        
01 Jan 2000 14:46:50.215   2073.673865041024           -4143.179657222247          -4937.649241257865          7.30391879227922             1.510419618530842            1.800048006708904            26798184.21941603         -132706744.4793436        -57534750.07538301        
01 Jan 2000 14:48:21.251   2726.394328074251           -3983.894463372124          -4747.820539239915          7.023118485040245            1.985847220432568            2.366640559293736            26800895.58346712         -132706282.5528675        -57534549.82654186        
01 Jan 2000 14:49:52.287   3350.12238335942            -3782.253240270956          -4507.513887194007          6.667649680751262            2.440157373641215            2.908066316532168            26803606.91740865         -132705820.5839511        -57534349.55932513        
01 Jan 2000 14:51:23.322   3938.226643980195           -3540.401092962482          -4219.28572176251           6.241293937137653            2.868519917992565            3.418568917695686            26806318.21832845         -132705358.5730916        -57534149.27394841        
01 Jan 2000 14:52:54.357   4484.46273072621            -3260.906272489943          -3886.196765352888          5.748578766547404            3.266386581444478            3.892727943237976            26809029.52383054         -132704896.5138817        -57533948.96763398        
01 Jan 2000 14:54:25.393   4983.019796074944           -2946.74163055549           -3511.78992466143           5.1947449427848              3.629524867148597            4.325499299834364            26811740.81908541         -132704434.408848         -57533748.64147724        
01 Jan 2000 14:55:56.428   5428.597383334902           -2601.2472903955            -3100.045803554796          4.585680694431039            3.954074036003676            4.712281937790869            26814452.10495332         -132703972.2578441        -57533548.29541465        
01 Jan 2000 14:57:27.464   5816.461483385473           -2228.092941149006          -2655.337767248132          3.927855234429294            4.236585937183961            5.048966510973097            26817163.40683991         -132703510.0565387        -57533347.92756858        
01 Jan 2000 14:58:58.500   6142.480589435128           -1831.253640506731          -2182.403105025127          3.228276103115658            4.474051269652673            5.331966674059263            26819874.66935323         -132703047.8143746        -57533147.54203259        
01 Jan 2000 15:00:29.535   6403.193478591346           -1414.9439222441            -1686.264502653753          2.494373007862186            4.663948952805429            5.558277920181876            26822585.92672671         -132702585.5255161        -57532947.13627683        
01 Jan 2000 15:02:00.571   6595.828361177685           -983.5888094930799          -1172.195497348843          1.73394672302185             4.804260074422559            5.725494203450015            26825297.1857743          -132702123.188801         -57532746.70979743        
